institution,n_manual,mean_manual,ci95_low_manual,ci95_high_manual,n_auto,mean_auto,ci95_low_auto,ci95_high_auto,delta_auto_minus_manual
EDPB and EDPS,711,0.06403262913227081,0.05700627937755869,0.07105897888698293,711,0.05386931076645851,0.046052324134180894,0.06168629739873613,-0.010163318365812302
European Commission,711,0.012764559127390385,0.006661848626285756,0.018867269628495012,711,-0.008612948469817638,-0.015432799645919568,-0.0017930972937157076,-0.021377507597208023
European Parliament,711,-0.03267192095518112,-0.03832407813124312,-0.027019763779119126,711,-0.05146825313568115,-0.05772026119846891,-0.045216245072893395,-0.01879633218050003
